area_id,area_name,workspace_id,workspace_name,season_id,season_name,start_date,end_date,farm_id,farm_name,field_id,field_name,crop,hybrid,crop_date,hectares,centroid,Nombre,Inicio de cosecha,Superficie Cosechada,Rendimiento medio humedo,Rendimiento medio seco,Rendimiento medio ajustado,Producción total,Rinde balanza,Velocidad media,Maquina,Humedad media,Monitor,Operador
9375,Prodas Advanced,1608,Prodas,249,2020/2021,1/1/2020,6/30/2021,1609,Adrian,31317,Lote Bauer,-No asignado-,-No asignado-,,85.226,POINT(-61.99279141752565 -31.236507),,,,,,,,,,,,,
9375,Prodas Advanced,1608,Prodas,249,2020/2021,1/1/2020,6/30/2021,1610,Anibal,31318,Badino Sur,Trigo,-No asignado-,,40.967,POINT(-62.177033287584145 -31.161977),BadinoSur_Trigo,,36.8703,9.69,11.27,12.67,467.15,,15.81,,11.98,,
9375,Prodas Advanced,1608,Prodas,249,2020/2021,1/1/2020,6/30/2021,1611,Fernando,31319,Lote 2 Sur,-No asignado-,-No asignado-,,22.407,POINT(-62.167205490661594 -31.1186615),,,,,,,,,,,,,
9375,Prodas Advanced,1608,Prodas,249,2020/2021,1/1/2020,6/30/2021,1611,Fernando,31320,Lote 1 Norte,Trigo,-No asignado-,6/22/2020,64.931,POINT(-62.18137585957116 -31.104315999999997),Lote1Norte_Trigo,,58.4379,9.65,5.81,11.12,649.83,,11.17,,17.48,,
9375,Prodas Advanced,1608,Prodas,249,2020/2021,1/1/2020,6/30/2021,1612,fede,31321,fede-lote primo,Trigo,-No asignado-,6/1/2020,29.792,POINT(-61.95095465204973 -30.5155775),fede-loteprimo_Trigo,,26.812800000000003,4.93,7.89,7.99,214.23,,15.59,,17.0,,
9375,Prodas Advanced,1608,Prodas,249,2020/2021,1/1/2020,6/30/2021,1613,Ferri Mariano,31322,La Tapera 1,Trigo,-No asignado-,,73.116,POINT(-62.11159378954322 -29.9585595),LaTapera1_Trigo,,65.8044,11.29,2.65,1.71,112.53,,14.54,,16.55,,
9375,Prodas Advanced,1608,Prodas,249,2020/2021,1/1/2020,6/30/2021,1613,Ferri Mariano,31323,Lote trigo,Trigo,-No asignado-,,57.226,POINT(-62.11151605802628 -29.9529135),Lotetrigo_Trigo,,51.5034,10.68,5.55,2.07,106.61,,14.15,,16.2,,
9375,Prodas Advanced,1608,Prodas,249,2020/2021,1/1/2020,6/30/2021,1614,Mariana,137361,lote 1,-No asignado-,-No asignado-,,18.823,POINT(-62.0546929246097 -30.559053),,,,,,,,,,,,,
9375,Prodas Advanced,1608,Prodas,249,2020/2021,1/1/2020,6/30/2021,1615,FEDE-LA PORTEÑA,31324,FEDE-LOTE LA PORTEÑA,Trigo,-No asignado-,6/5/2020,40.115,POINT(-61.75036215973058 -30.5910665),FEDE-LOTELAPORTEÑA_Trigo,,36.1035,4.71,11.77,9.7,350.2,,13.49,,13.71,,
9375,Prodas Advanced,1608,Prodas,249,2020/2021,1/1/2020,6/30/2021,1616,Abanja SA,31325,Lote Anguíno,-No asignado-,-No asignado-,,47.872,POINT(-62.05625056795304 -30.558694000000003),,,,,,,,,,,,,
